extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
9f15762f-88a2-4064-832a-7dc78fb857a1,3,"S/N N233615366 V","","S/N N233615366 V",NEEDS_REVIEW,"","","",""
2f0dd2e0-a915-4135-ae05-cd69d7a691ea,3,"4.2","","4.2",REJECTED,"","","",""
767f89e9-2db2-4e58-ad7d-eb1ea8d6f70f,3,"17516 Axialkolbenverstellpumpe","","17516 Axialkolbenverstellpumpe",NEEDS_REVIEW,"","","",""
c468b218-008e-4f5e-8aa5-827a3d7e626a,3,"H1 P 147 R","","H1 P 147 R",REJECTED,"","","",""
60468fd4-2384-4852-ad17-495c11ba4155,3,"Axial piston variable displace- 83098151 ment pump","","Axial piston variable displace- 83098151 ment pump",NEEDS_REVIEW,"","","",""
a34cba7a-8aac-4df6-aa15-2672c1f05ace,3,"S/N N232404797 V","","S/N N232404797 V",NEEDS_REVIEW,"","","",""
930ef1ed-3df2-44b3-8d8c-45d1ecf88882,3,"1 463","","1 463",REJECTED,"","","",""
a2ac958d-314f-4416-99f6-194b4cfee73f,3,"Sicherheitsblock","","Sicherheitsblock",NEEDS_REVIEW,"","","",""
e42e30ac-fbf3-49e5-9c57-c823f32948b2,3,"Safety block","","Safety block",NEEDS_REVIEW,"","","",""
87e8566d-571c-4c02-97b0-44643d29e1cd,3,"LT-30Y07.0-K","","LT-30Y07.0-K",NEEDS_REVIEW,"","","",""
f95c7b2d-2702-4e3b-89b4-4598c33ef28e,3,"S/N 2031488029 V","","S/N 2031488029 V",NEEDS_REVIEW,"","","",""
ac6cbb87-075c-4afc-ad5a-d3559d22c2d0,3,"1 1457 Zahnradpumpe","","1 1457 Zahnradpumpe",NEEDS_REVIEW,"","","",""
6a103b7a-5e9a-4c3b-8c2a-964f86f3780e,3,"AZPNF-11-022/008LDC0720MB-","","AZPNF-11-022/008LDC0720MB-",NEEDS_REVIEW,"","","",""
dde5130d-58b1-41f4-867d-74533dcb1def,3,"Gear pump","","Gear pump",REJECTED,"","","",""
ed9229eb-a473-41aa-87b1-80ae803ce89d,3,"S0272","","S0272",REJECTED,"","","",""
43f77939-0f3f-423f-9bc8-76b2f8dcf20e,3,"1 3345 Planetengetriebe","","1 3345 Planetengetriebe",NEEDS_REVIEW,"","","",""
d31f23a3-f6d8-4d57-bc04-295fc0ad61df,3,"Planetary gear","","Planetary gear",NEEDS_REVIEW,"","","",""
0ae8043e-a420-44bc-bcaa-8f5745d73bfd,3,"JD00003482","","JD00003482",REJECTED,"","","",""
4b86ab50-36f7-49cd-9799-5d241175f50a,3,"S/N SK01230012394 V","","S/N SK01230012394 V",NEEDS_REVIEW,"","","",""
5e2dbf6d-d291-4228-9307-79d9aad9ef5a,3,"7.1 28 10749 Sechskantschraube Hexagon screw","","7.1 28 10749 Sechskantschraube Hexagon screw",NEEDS_REVIEW,"","","",""
bbae9667-124e-41ec-9e9f-ea09d0475cf8,3,"ISO 4014 - M20 x 90 - 10.9","","ISO 4014 - M20 x 90 - 10.9",NEEDS_REVIEW,"","","",""
446ddeda-74d3-4dab-9926-3008bee7e53a,3,"ohne Abbildung / not illustrated","","ohne Abbildung / not illustrated",NEEDS_REVIEW,"","","",""
